id,datetime_start,datetime_end,note,contact_mechanism_type_id,communication_event_status_type_id,party_relationship_id
1,"2025-01-02 09:00:00","2025-01-02 10:00:00","Project kickoff meeting",9,1,1
2,"2025-01-03 14:00:00","2025-01-03 15:30:00","Client contract discussion",1,3,2
3,"2025-01-04 10:00:00","2025-01-04 11:00:00","Supplier delivery schedule",2,1,3
4,"2025-01-05 11:00:00","2025-01-05 12:00:00","Partnership planning",9,1,4
5,"2025-01-06 15:00:00","2025-01-06 16:00:00","Volunteer briefing",7,1,5
6,"2025-02-02 09:00:00","2025-02-02 10:00:00","Contract review",1,4,6
7,"2025-03-02 08:00:00","2025-03-02 09:30:00","Board meeting",9,1,7
8,"2025-04-02 10:00:00","2025-04-02 11:00:00","Shareholder update",1,1,8
9,"2025-05-02 13:00:00","2025-05-02 14:00:00","Team sync",8,1,9
10,"2025-06-02 16:00:00","2025-06-02 17:00:00","Family support call",2,1,10
11,"2025-01-07 09:00:00","2025-01-07 10:00:00","Consulting session",9,1,11
12,"2025-01-08 14:00:00","2025-01-08 15:00:00","Logistics planning",2,1,12
13,"2025-02-03 10:00:00","2025-02-03 11:00:00","Training session",9,1,13
14,"2025-03-03 11:00:00","2025-03-03 12:00:00","Media campaign discussion",7,1,14
15,"2025-04-03 15:00:00","2025-04-03 16:00:00","Community event planning",7,1,15
16,"2025-01-16 09:00:00","2025-01-16 10:00:00","Supplier contract review",1,3,16
17,"2025-02-16 14:00:00","2025-02-16 15:00:00","Consulting follow-up",1,3,17
18,"2025-03-16 10:00:00","2025-03-16 11:00:00","Project update",9,1,18
19,"2025-04-16 13:00:00","2025-04-16 14:00:00","Team coordination",8,1,19
20,"2025-05-16 08:00:00","2025-05-16 09:30:00","Board strategy session",9,1,20
21,"2025-01-02 10:00:00","2025-01-02 11:00:00","Shareholder feedback",1,1,21
22,"2025-01-03 11:00:00","2025-01-03 12:00:00","Supplier negotiation",2,1,22
23,"2025-01-04 14:00:00","2025-1-04 15:00:00","Media partnership sync",7,1,23
24,"2025-01-05 15:00:00","2025-01-05 16:00:00","Volunteer team meeting",7,1,24
25,"2025-01-06 09:00:00","2025-01-06 10:00:00","Customer feedback session",1,1,25